Raw Archive Value,Count,Projects,Normalized Archive Value
"Ch. 12 (Letters from Borsippa, Dilbat, and Bit-Dakkuri)",38,saao-saa18,Uncertain (SAA Chapter)
Ch. 9 (Additions to SAA 10 and SAA 13),38,saao-saa18,Uncertain (SAA Chapter)
02 (The škintu group),36,atae-ctn3,Uncertain
17 (Archive N29),36,atae-stat2,Archive N29
Unknown,36,borsippa,Uncertain
Ch. 11 (Silim-Aššur),36,saao-saa06,Uncertain (SAA Chapter)
Ch. 1 (Grants of Tiglath-pileser III and Earlier Kings),36,saao-saa12,Uncertain (SAA Chapter)
Ch. 15 (Varia),36,saao-saa14,Uncertain (SAA Chapter)
Ch. 6 (Letters from Nineveh and the Royal Court),36,saao-saa16,Uncertain (SAA Chapter)
Ch. 5 (Letters from the Eastern Provinces),36,saao-saa19,Uncertain (SAA Chapter)
013 - Burnt Palace,34,"atae-ctn2, saao-saa19",Burnt Palace Archive
Ch. 8 (Temple Service and Takultu Manuals),34,"atae-huzirina, saao-saa20",Uncertain (SAA Chapter)
Ch. 13 (Letters from Guzana and Naṣibina),34,saao-saa01,Uncertain (SAA Chapter)
Ch. 1 (Queries Relating to Asia Minor and Cappadocia (Reign of Esarhaddon)),34,saao-saa04,Uncertain (SAA Chapter)
Ch. 10 (Medical Queries (Reign of Esarhaddon)),34,saao-saa04,Uncertain (SAA Chapter)
Ch. 3 (Varia),34,saao-saa06,Uncertain (SAA Chapter)
Ch. 6 (Nabu’a),34,saao-saa08,Uncertain (SAA Chapter)
Ch. 7 (Nabu-mušeṣi),34,saao-saa08,Uncertain (SAA Chapter)
"Ch. 3 (Nabu-ahhe-eriba, Astrologer)",34,saao-saa10,Uncertain (SAA Chapter)
Ch. 5 (Denunciations),34,saao-saa16,Uncertain (SAA Chapter)
Ch. 5 (Letters to Elam),34,saao-saa21,Uncertain (SAA Chapter)
"Ch. 1 (Hymns to Gods, Temples, Cities and Kings)",32,"atae-huzirina, saao-saa03",Uncertain (SAA Chapter)
038 - N 23 Archive,32,atae-stat2,Archive N23
12 (Archive N23),32,atae-stat2,Archive N23
Archive N30,32,atae-stat2,Archive N30
"Ch. 10 (Letters from Raṣappa, Suhu and Laqe)",32,saao-saa01,Uncertain (SAA Chapter)
Ch. 14 (Varia and Unassigned),32,saao-saa01,Uncertain (SAA Chapter)
Ch. 18 (Extispicy Reports Concerning Appointment of Officials (Reign of Assurbanipal)),32,saao-saa04,Uncertain (SAA Chapter)
Ch. 12 (Zakir),32,saao-saa08,Uncertain (SAA Chapter)
Ch. 6 (Horses),32,saao-saa11,Uncertain (SAA Chapter)
Ch. 8 (Letters from Uruk),32,saao-saa17,Uncertain (SAA Chapter)
Archive N12 (Caravansary),30,atae-stat2,Archive N12
Assur 52b: Das Archiv einer Gruppe von Ägyptern,30,atae-wvdog152,Egyptian Archive (Assur 52b)
"Ch. 12 (Nabu-nadin-šumi, Exorcist)",30,saao-saa10,Uncertain (SAA Chapter)
Ch. 11 (Letters from or Relating to Babylon),30,saao-saa18,Uncertain (SAA Chapter)
"Ch. 10 (Letters from or Relating to Birati, Dur-Šarrukku and Cutha)",30,saao-saa18,Uncertain (SAA Chapter)
04 (Miscellaneous texts),28,atae-ctn3,Uncertain
2 (Assyrian Eponym Chronicle),28,"atae-huzirina, saao-saas2",Uncertain
02 (Archive N3 (Singers)),28,atae-stat2,Archive N3
"Archive N10 (Aššur-eriba, hundurayu)",28,atae-stat2,Archive N10
047 - N 32 Archive,28,"atae-stat2, atae-stat3",Archive N32
Probably periphery of the Bēliya’u archive,28,borsippa,Bēliya’u Archive
Ch. 5  (Letters from Calah),28,saao-saa01,Uncertain (SAA Chapter)
"Ch. 13 (Letters from the King, the Crown Prince and the Treasurer)",28,saao-saa05,Uncertain (SAA Chapter)
Ch. 5 (Lists of Debts),28,saao-saa07,Uncertain (SAA Chapter)
"Ch. 16 (Urad-Nanaya, Chief Physician)",28,saao-saa10,Uncertain (SAA Chapter)
Ch. 10 (Schedules of Land and People),28,saao-saa11,Uncertain (SAA Chapter)
Ch. 1 (Geographical Lists),28,saao-saa11,Uncertain (SAA Chapter)
Ch. 4 (Edicts and Decrees for Temple Maintenance),28,saao-saa12,Uncertain (SAA Chapter)
Ch. 6 (Letters from Calah - Urdu-Nabu),28,saao-saa13,Uncertain (SAA Chapter)
Ch. 9 (Letters from Calah - Varia),28,saao-saa13,Uncertain (SAA Chapter)
Ch. 8 (Additions to SAA 1 and SAA 5),28,saao-saa15,Uncertain (SAA Chapter)
"Ch. 4 (Letters from or Relating to Kish, Borsippa, Bit-Dakkuri and Marad)",28,saao-saa18,Uncertain (SAA Chapter)
"008 - Northwest Palace, Room HH",26,atae-ctn2,Uncertain (North-West Palace Room)
Ch. 2 (Treaties of the Seventh Century B.C.),26,saao-saa02,Uncertain (SAA Chapter)
Ch. 5 (Queries Relating to Egypt and the Levant (Reign of Esarhaddon)),26,saao-saa04,Uncertain (SAA Chapter)
Ch. 16 (Extispicy Reports Concerning the Šamaš-šumu-ukin War (Reign of Assurbanipal)),26,saao-saa04,Uncertain (SAA Chapter)
Ch. 10 (Miscellaneous Commodities),26,saao-saa07,Uncertain (SAA Chapter)
Ch. 14 (Ašaredu the Older),26,saao-saa08,Uncertain (SAA Chapter)
Ch. 16 (Aplaya),26,saao-saa08,Uncertain (SAA Chapter)
Ch. 4 (Akkullanu),26,saao-saa08,Uncertain (SAA Chapter)
Ch. 5 (Bulluṭu),26,saao-saa08,Uncertain (SAA Chapter)
"Ch. 5 (Bel-ušezib, Astrologer)",26,saao-saa10,Uncertain (SAA Chapter)
Ch. 14 (Letters from Babylon - Rašil and Šuma-iddin),26,saao-saa13,Uncertain (SAA Chapter)
Ch. 11 (Letters of Unknown Provenance),26,saao-saa17,Uncertain (SAA Chapter)
Ch. 2 (Letters from Sippar and Birati/Harratu),26,saao-saa17,Uncertain (SAA Chapter)
Ch. 13 (Letters from Nippur),26,saao-saa18,Uncertain (SAA Chapter)
Ch. 9 (Letters from the Western Provinces),26,saao-saa19,Uncertain (SAA Chapter)
"002 - Fort Shalmaneser, SW 6",24,"atae-ctn1, atae-ctn3",Fort Shalmaneser Archive
06 (Administrative records ),24,atae-ctn3,Uncertain
002 - Il-manani Archive,24,atae-guzana,Il-manani Archive
Archive N18 (Arameans),24,atae-stat2,Archive N18
24 (Unassignable Texts  (Sales of People)),24,atae-stat2,Uncertain
04 (Texte aus N 3),24,atae-stat3,Archive N3
5. Miscellanea,24,borsippa,Ezida Temple Miscellaneous
Ch. 8 (Letters from Western Provinces),24,saao-saa01,Uncertain (SAA Chapter)
"Ch. 2 (Letters from Sin-ahhe-riba, the Crown Prince)",24,saao-saa01,Uncertain (SAA Chapter)
Ch. 20 (Ṭabiya and Ṭab-ṣilli-Marduk),24,saao-saa08,Uncertain (SAA Chapter)
Ch. 11 (Nabu-iqiša),24,saao-saa08,Uncertain (SAA Chapter)
"Ch. 14 (Nabu-naṣir, Exorcist)",24,saao-saa10,Uncertain (SAA Chapter)
Ch. 13 (Letters from Babylon - Urdu-ahhešu),24,saao-saa13,Uncertain (SAA Chapter)
1 (Assyrian Eponym List),22,"atae-huzirina, saao-saas2",Uncertain
"Ch. 12 (Various Accounts of Food, Drink and Aromatics)",22,saao-saa07,Uncertain (SAA Chapter)
Ch. 17 (Nabu-šuma-iškun),22,saao-saa08,Uncertain (SAA Chapter)
Ch. 11 (Letters from Arbela - Varia),22,saao-saa13,Uncertain (SAA Chapter)
Ch. 4 (Officials of the Crown Prince),22,saao-saa14,Uncertain (SAA Chapter)
Ch. 4 (Petitions to Officials and Private Letters),22,saao-saa16,Uncertain (SAA Chapter)
Ch. 5 (Letters from Nippur and Larak),22,saao-saa18,Uncertain (SAA Chapter)
Ch. 11 (Letters from the Eastern Provinces),22,saao-saa19,Uncertain (SAA Chapter)
Ch. 8 (Letters from Central Assyria),22,saao-saa19,Uncertain (SAA Chapter)
16 (Archive N28),20,atae-stat2,Archive N28
28 (Unassignable Texts  (Miscellanea and Fragments)),20,atae-stat2,Uncertain
Ibnāya A,20,borsippa,Ibnāya Archive
"southern stretch of the embankment wall, near the southwest corner, in situ",20,,Uncertain
Ch. 7 (Queries Concerning Written Plans (Reign of Esarhaddon)),20,saao-saa04,Uncertain (SAA Chapter)
Ch. 11 (Queries - Varia (Reign of Esarhaddon)),20,saao-saa04,Uncertain (SAA Chapter)
Ch. 8 (Insurrection Queries (Reign of Esarhaddon)),20,saao-saa04,Uncertain (SAA Chapter)
Ch. 5 (Varia),20,saao-saa05,Uncertain (SAA Chapter)
Ch. 14 (Miscellaneous Letters),20,saao-saa05,Uncertain (SAA Chapter)
"Ch. 11 (Letters from Šamaš-belu-uṣur, Governor of Arzuhina)",20,saao-saa05,Uncertain (SAA Chapter)
Ch. 13 (Harem Governesses and Other Royal Women),20,saao-saa06,Uncertain (SAA Chapter)
Ch. 3 (Lists of Professional Groups),20,saao-saa07,Uncertain (SAA Chapter)
Ch. 13 (Accounts of Banquets),20,saao-saa07,Uncertain (SAA Chapter)
Ch. 17 (Physicians - varia),20,saao-saa10,Uncertain (SAA Chapter)
"Ch. 2 (Letters from Assur - Marduk-šallim-ahhe, Scribe of the Aššur Temple)",20,saao-saa13,Uncertain (SAA Chapter)
Ch. 14 (Private Archives),20,saao-saa14,Uncertain (SAA Chapter)
Ch. 8 (Letters from Phoenicia and Transpotamia),20,saao-saa16,Uncertain (SAA Chapter)
Ch. 2 (Letters from Central Assyria),20,saao-saa19,Uncertain (SAA Chapter)
